,Unnamed: 0,frame_number,x_angle,y_angle,z_angle,product 0,product 1,product 2,product 3,product 4,product 5,product 6,seconds
99,99,787,-10.805061,-21.906189,1.554039,37387.62944414351,43806.22757718437,64874.49259775908,47759.95202675549,67834.12888762755,71222.97138187468,73786.69235341341,26.233333333333334
100,100,788,-10.590576,-22.717636,1.17469,37410.74775981425,43660.48048652303,64555.1807064098,46891.717625136815,66891.15135842202,69986.10233420029,72620.20145992123,26.266666666666666
101,101,789,-10.381622,-22.970642,1.264343,37428.41323103969,43508.61306810172,64276.799729090664,46563.10830219121,66449.5139360768,69559.01384489471,72145.09931297287,26.3
102,102,790,-10.220612,-22.586891,1.015274,37400.66436892829,43347.66948665694,64073.794778032454,46848.67694450257,66610.47530659419,70062.79393117242,72484.67440669486,26.333333333333332
103,103,791,-10.259308,-23.492325,2.220085,37485.94491924666,43465.7175956231,64118.054014367226,46034.49725137342,65875.02763901571,68774.97019099009,71416.17199523206,26.366666666666667
104,104,792,-10.351196,-22.072411,1.319893,37381.343397849836,43431.107626407415,64266.185324392645,47395.114483767386,67202.76191884711,70844.63095786309,73220.3521496008,26.4
105,105,793,-10.628036,-23.055405,2.690987,37439.167241727184,43719.318876611454,64598.40420529349,46597.0263901533,66640.52902899223,69512.72940244555,72240.06992142658,26.433333333333334
106,106,794,-10.466751,-22.641853,2.023636,37404.124334727225,43552.89261702329,64394.72590094148,46906.40072617334,66824.66833848979,70057.38155071308,72613.50382843825,26.466666666666665
107,107,795,-11.012802,-22.489876,2.382858,37411.10407063683,44001.01924712408,65118.38169736048,47300.78344341921,67541.8758187597,70445.4316069293,73237.79328083282,26.5
108,108,796,-10.560684,-22.67337,3.245926,37407.301039492064,43632.63859019891,64517.105028510996,46919.38907470144,66897.59018797928,70040.6171598643,72650.19529571563,26.533333333333335
109,109,797,-10.782928,-21.945625,2.892853,37387.063188534135,43788.110284427654,64842.7026833395,47711.687776504245,67775.3210256085,71159.04426144807,73720.36067566759,26.566666666666666
110,110,798,-11.249008,-22.348244,2.696182,37418.052979071515,44196.480267233186,65436.95250494854,47547.05701124873,67919.8644575356,70724.91243115143,73601.98896739146,26.6
111,111,799,-10.527519,-22.333763,3.216675,37389.54249609644,43586.126900668816,64485.409278913605,47224.020672234714,67159.05426251325,70519.87531994647,73039.03986495412,26.633333333333333
112,112,800,-10.353317,-21.721222,2.483612,37380.84142418181,43427.66214111565,64290.773714254276,47736.541583721795,67519.5810680052,71354.40414374926,73656.48956211479,26.666666666666668
113,113,801,-10.903923,-22.083687,3.321655,37392.900054605394,43893.148588197204,64994.294647027156,47634.95023701597,67782.01898456037,70996.95568359972,73647.39396686149,26.7
114,114,802,-10.537621,-21.486862,3.014809,37387.543163779,43582.138586007815,64551.96469506183,48048.20701437943,67926.98322713336,71749.9813372488,74093.35339769606,26.733333333333334
115,115,803,-10.189468,-22.356094,3.029816,37389.80784103457,43309.3750982506,64040.76624742701,47053.087942302904,66779.91673342636,70386.57815795329,72743.03212103067,26.766666666666666
116,116,804,-9.792274,-21.614754,3.247955,37392.971000471836,42971.50527636937,63560.97736786876,47602.01024553584,67024.60895069398,71347.31279493214,73349.31132561767,26.8
